tier,level,n_reviews,doi,title,authors,journal,year,type,publisher,why_full_text_needed,target_folder
T3,2,5,10.1109/tim.2008.925013,An Economic Offline Technique for Estimating the Equivalent Circuit of Aluminum Electrolytic Capacitors,Amaral A.M.R.; Cardoso A.,IEEE Transactions on Instrumentation and Measurement,2008,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/tpel.2014.2339374,Deterioration Monitoring of DC-Link Capacitors in AC Machine Drives by Current Injection,Nguyen Thanh Hai; Lee Dong-Choon,IEEE Transactions on Power Electronics,2015,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/tim.2009.2032960,An Online and Noninvasive Technique for the Condition Monitoring of Capacitors in Boost Converters,Buiatti G M; Martín-Ramos J A; García C H R; Amaral A M R et al.,IEEE Transactions on Instrumentation and Measurement,2010,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/tpel.2014.2383436,A Current-Sensorless Online ESR and C Identification Method for Output Capacitor of Buck Converter,Yao Kai; Tang Weijie; Hu Wenbin; Lyu Jianguo,IEEE Transactions on Power Electronics,2015,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/tia.2008.2002181,DC-Link Capacitance Estimation in AC/DC/AC PWM Converters Using Voltage Injection,Abo-Khalil A.G.; Dong-Choon Lee,IEEE Transactions on Industry Applications,2008,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/tie.2018.2835393,A VEN Condition Monitoring Method of DC-Link Capacitors for Power Converters,Wu Yu; Du Xiong,IEEE Transactions on Industrial Electronics,2019,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/tia.2018.2845889,Online Condition Monitoring System for DC-Link Capacitor in Industrial Power Converters,Sundararajan Prasanth; Sathik Mohamed Halick Mohamed; Sasongko Firman; Tan Chuan Seng et al.,IEEE Transactions on Industry Applications,2018,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/tpel.2019.2951859,Condition Monitoring of DC-Link Capacitors Using Goertzel Algorithm for Failure Precursor Parameter and Temperature Estimation,Sundararajan Prasanth; Sathik Mohamed Halick Mohamed; Sasongko Firman; Tan Chuan Seng et al.,IEEE Transactions on Power Electronics,2020,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/tpel.2018.2890617,An Online ESR Estimation Method for Output Capacitor of Boost Converter,Ren Lei; Gong Chunying; Zhao Yao,IEEE Transactions on Power Electronics,2019,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1049/ip-epa:20050027,Online capacitance estimation of DC-link electrolytic capacitors for three-phase AC/DC/AC PWM converters using recursive least squares method,Lee D.-C.; Lee K.-J.; Seok J.-K.; Choi J.-W.,IEE Proceedings - Electric Power Applications,2005,journal-article,IET,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/tpel.2018.2857832,Reference Submodule Based Capacitor Monitoring Strategy for Modular Multilevel Converters,Deng Fujin; Wang Qingsong; Liu Dong; Wang Yanbo et al.,IEEE Transactions on Power Electronics,2019,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/apex.2007.357646,Real-Time Condition Monitoring of the Electrolytic Capacitors for Power Electronics Applications,Imam Afroz M.; Divan Deepak M.; Harley Ronald G.; Habetler Thomas G.,APEC 07 - Twenty-Second Annual IEEE Applied Power Electronics Conference and Exposition,2007,proceedings-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/ecce.2014.6953683,Condition monitoring of submodule capacitors in modular multilevel converters,Jo Yun-Jae; Nguyen Thanh Hai; Lee Dong-Choon,2014 IEEE Energy Conversion Congress and Exposition (ECCE),2014,proceedings-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/tpel.2017.2762341,Noninvasive Technique for DC-Link Capacitance Estimation in Single-Phase Inverters,Ahmad Md. Waseem; Kumar P. Nandha; Arya Abhinav; Anand Sandeep,IEEE Transactions on Power Electronics,2018,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/tpel.2019.2917937,Condition Monitoring for Submodule Capacitors in Modular Multilevel Converters,Wang Hanyu; Wang Huai; Wang Zhongxu; Zhang Yi et al.,IEEE Transactions on Power Electronics,2019,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/tpel.2019.2956808,Capacitor Condition Monitoring Based on the DC-Side Start-Up of Modular Multilevel Converters,Wang Zhongxu; Zhang Yi; Wang Huai; Blaabjerg Frede,IEEE Transactions on Power Electronics,2020,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/tim.2009.2019719,Condition Monitoring of Metallized Polypropylene Film Capacitors in Railway Power Trains,Buiatti Gustavo Malagoni; MartÍn-Ramos Juan A.; Amaral AcÁcio M. R.; Dworakowski Piotr et al.,IEEE Transactions on Instrumentation and Measurement,2009,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/tim.2017.2749838,Noninvasive Online Condition Monitoring of Output Capacitor’s ESR and C for a Flyback Converter,Yao Kai; Cao Cheng; Yang Siwen,IEEE Transactions on Instrumentation and Measurement,2017,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/isie.2007.4374704,Using Newton-Raphson Method to Estimate the Condition of Aluminum Electrolytic Capacitors,Amaral Acacio M. R.; Cardoso A. J. Marques,2007 IEEE International Symposium on Industrial Electronics,2007,proceedings-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/jsen.2019.2945943,Online Monitoring of Aluminum Electrolytic Capacitors in Photovoltaic Systems by Magnetoresistive Sensors,Miao Wenchao; Lam K. H.; Pong Philip W. T.,IEEE Sensors Journal,2020,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/jsen.2019.2929537,Condition Monitoring of Electrolytic Capacitors in Boost Converters by Magnetic Sensors,Miao Wenchao; Liu Xuyang; Lam K.H.; Pong Philip W. T.,IEEE Sensors Journal,2019,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/iecon.2008.4758011,An automatic technique to obtain the equivalent circuit of aluminum electrolytic capacitors,Amaral A.M.R.; Cardoso A.J.M.,2008 34th Annual Conference of IEEE Industrial Electronics,2008,proceedings-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1049/iet-pel.2016.0603,Capacitor impedance estimation utilizing dc‐link voltage oscillations in single phase inverter,Arya Abhinav; Ahmad Md. Waseem; Agarwal Nikunj; Anand Sandeep,IET Power Electronics,2017,journal-article,IET,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1049/iet-pel.2018.5394,"Online estimation scheme of output capacitor's ESR and tan
                    δ
                    for Buck converter",Ren Lei; Gong Chunying,IET Power Electronics,2019,journal-article,IET,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,2,4,10.1109/demped.2009.5292791,Using input current and output voltage ripple to estimate the output filter condition of switch mode DC/DC converters,Amaral A. M. R.; Cardoso A. J. M.,"2009 IEEE International Symposium on Diagnostics for Electric Machines, Power Electronics ",2009,proceedings-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,0,4,10.1109/tia.2002.802922,The service life of large aluminum electrolytic capacitors: effects of construction and application,Stevens J.L.; Shaffer J.S.; Vandenham J.T.,IEEE Transactions on Industry Applications,2002,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,-1,4,10.1109/tia.2011.2124436,An Industry-Based Survey of Reliability in Power Electronic Converters,Shaoyong Yang; Bryant A; Mawby P; Dawei Xiang et al.,IEEE Transactions on Industry Applications,2011,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
T3,-1,4,10.1109/tvt.2012.2206082,Analysis and Evaluation of DC-Link Capacitors for High-Power-Density Electric Vehicle Drive Systems,Huiqing Wen; Weidong Xiao; Xuhui Wen; Armstrong P.,IEEE Transactions on Vehicular Technology,2012,journal-article,IEEE Xplore,Section 4 + method comparison table + deployability field extraction,03_CM_ParameterEstimation
