doi,level_final,terminal_output,confidence,cap_type,method,priority,title,authors,journal,year,type,citations,venue_swept,source
10.1109/jestpe.2022.3208065,6,estimated lifetime (time-to-failure) under humid operating conditions,high,DC film capacitor,dummy-variable (categorical regressor) accelerated-degradation lifetime model fo,P2,A Dummy-Variable Model for Humidity-Influenced DC Film Capacitors Lifetime Estimation,Miao Jigui; Liu Yang; Yin Quan; Zhao Shuai,IEEE Journal of Emerging and Selected Topics in Power Electronics,2023,journal-article,6,IEEE JESTPE,SUPPLEMENTARY
10.1016/j.microrel.2021.114245,6,Estimated capacitor lifetime (with hot-spot temperature as intermediate),medium,metallized film capacitor,Automated joint FEM/circuit co-simulation for hot-spot temperature with aging-de,P2,A method to improve the accuracy and efficiency for metallized-film capacitor's reliability assessment using joint simulation,Yin Jinpeng; Liu Jinjun; Zhang Yan; Lv Chunlin,Microelectronics Reliability,2021,journal-article,5,Microelectronics Reliability,SUPPLEMENTARY
10.1016/j.microrel.2018.07.059,6,"estimated lifetime / unreliability of individual capacitors and of the DC-bank, with uncertainty bounds",high,dc-link capacitor bank (PV application),Model-based mission-profile reliability assessment with Monte Carlo uncertainty ,P2,Uncertainty analysis of capacitor reliability prediction due to uneven thermal loading in photovoltaic applications,Vernica I.; Wang H.; Blaabjerg F.,Microelectronics Reliability,2018,journal-article,5,Microelectronics Reliability,SUPPLEMENTARY
10.36001/phmconf.2013.v5i1.2277,6,remaining useful life (RUL) prediction distribution in hours,high,aluminium electrolytic,"physics-of-failure state-space degradation model + particle filter, accelerated ",P1,Degredation Modeling and Remaining Useful Life Prediction of Electrolytic Capacitors under Thermal Overstress Condition Using Particle Filters,Khorasgani Hamed; Kulkarni Chetan; Biswas Gautam; R. Celaya Jose ́,Annual Conference of the PHM Society,2013,journal-article,3,"PHM Society (all: PHM Conf, PHME, IJPHM, PHM",SUPPLEMENTARY
10.36001/phmconf.2012.v4i1.2138,6,remaining useful life / end-of-life prediction with credible intervals,high,aluminium electrolytic,physics-based degradation model + Bayesian filtering on accelerated thermal-over,P1,Bayesian Framework Approach for Prognostic Studies in Electrolytic Capacitor under Thermal Overstress Conditions,S. Kulkarni Chetan; R. Celaya Jose ́; Goebel Kai; Biswas Gautam,Annual Conference of the PHM Society,2012,journal-article,3,"PHM Society (all: PHM Conf, PHME, IJPHM, PHM",SUPPLEMENTARY
10.1109/jestpe.2022.3175457,6,Predicted lifetime (time-to-failure) of the mica paper capacitor,high,mica paper capacitor,"Improved iterative grey model GM(1,1) combined with Markov chain residual correc",P2,Lifetime Prediction of Mica Paper Capacitors Based on an Improved Iterative Grey–Markov Chain Model,Liu Shifei; Zhang Jiande; Zhang Zicheng,IEEE Journal of Emerging and Selected Topics in Power Electronics,2022,journal-article,3,IEEE JESTPE,SUPPLEMENTARY
10.1109/tdmr.2025.3624656,6,predicted lifetime in years (B10) of each DC-bus capacitor bank technology,high,DC-bus electrolytic vs metallized film vs hybrid bank,mission-profile electrothermal modelling + manufacturer lifetime models + Monte ,P2,A Comparative Analysis of the Reliability of DC Bus Capacitor Technologies in Photovoltaic Inverters,Alexandre Andressa Mara Menezes; Filho Paulo Soares; de Oliveira Bruna Aderbal; Silveira João Pedro Carvalho,IEEE Transactions on Device and Materials Reliability,2025,journal-article,3,IEEE Trans. Device and Materials Reliability,SUPPLEMENTARY
10.1016/j.microrel.2020.113817,6,"B10 lifetime distribution, from which an optimal capacitor design (sizing) is selected",medium,aluminum electrolytic (LED driver),KDE of mission-profile uncertainty + Monte Carlo B10 lifetime + particle-swarm d,P2,Reliability-oriented optimization of aluminum electrolytic capacitor considering uncertain mission profile,Niu Hao; Wang Shujuan; Ye Xuerong,Microelectronics Reliability,2020,journal-article,3,Microelectronics Reliability,SUPPLEMENTARY
10.36001/phme.2014.v2i1.1491,6,remaining useful life (RUL) distribution of the capacitor,high,aluminium electrolytic capacitor (automotive electric drive),particle filter on an ESR-based degradation model with variable operating condit,P1,A Particle Filtering-Based Approach for the Prediction of the Remaining Useful Life of an Aluminum Electrolytic Capacitor,Rigamonti Marco; Baraldi Piero; Zio Enrico; Astigarraga Daniel,PHM Society European Conference,2014,journal-article,2,"PHM Society (all: PHM Conf, PHME, IJPHM, PHM",SUPPLEMENTARY
10.1016/j.microrel.2022.114768,6,Capacitor lifetime / unreliability (Bx life) including the life consumed by LVRT events,medium,DC-link capacitor (grid-connected PV inverter),Mission-profile electro-thermal stress translation with event-oriented nonlinear,P2,An event-oriented reliability assessment for DC link capacitors in grid connected inverter with low voltage ride through operation,Liu Yi; Zhu Mingshuo; Huang Meng; Zha Xiaoming,Microelectronics Reliability,2022,journal-article,2,Microelectronics Reliability,SUPPLEMENTARY
10.1016/j.ress.2026.112211,6,predicted MLCC time-to-failure / reliability under thermo-electric coupling stress,medium,MLCC (BaTiO3 multilayer ceramic),"hybrid physics-of-failure + data-driven: degradation signal extraction, PCA, sto",P2,A hybrid modeling framework for predicting the multilayer ceramic capacitor reliability under thermal-electrical coupling operating conditions,Li Donghui; Zhong Yuguang; Zhou Xue; Zhai Guofu,Reliability Engineering &amp; System Safety,2026,journal-article,2,Reliability Engineering & System Safety,SUPPLEMENTARY
10.1109/jestpe.2025.3570650,6,predicted lifetime of the DC-link capacitors and power devices under the proposed PWM,medium,DC-link capacitor of an NPC inverter,reliability-enhanced PWM modulation strategy with electrothermal loss/thermal-lo,P3,Reliability-Enhanced PWM for NPC Inverter Focusing on Lifetimes of DC-Link Capacitors and Power Devices,Lee Dong-Jin; Choi Jae-Heon; Choi Ui-Min,IEEE Journal of Emerging and Selected Topics in Power Electronics,2025,journal-article,2,IEEE JESTPE,SUPPLEMENTARY
10.1109/tr.2025.3641587,6,remaining useful life (time-to-failure) with calibrated prediction intervals,high,aluminium electrolytic,Gaussian-process regression with spectral mixture kernels + hybrid uncertainty c,P1,Uncertainty-Aware Remaining Useful Life Estimation for Aluminium Electrolytic Capacitors Using Spectral Mixture Kernels and Hybrid Uncertainty Calibration,Bhattacharyya Anindya; Behera Rajendra Prasad; Dasgupta Arup; Chakraborty Rajat Subhra,IEEE Transactions on Reliability,2025,journal-article,1,IEEE Trans. Reliability,SUPPLEMENTARY
10.1109/tdmr.2026.3666475,6,remaining useful life (time-to-failure) of the electrolytic capacitor,high,aluminium electrolytic,model+data fusion: particle filter with nonlinear second-order state transition ,P1,Remaining Useful Life Prediction of Electrolytic Capacitors Incorporating Data-Driven and Model-Based Methods,Yi Jianmin; Wang Hao; Ma Cunbao,IEEE Transactions on Device and Materials Reliability,2026,journal-article,1,IEEE Trans. Device and Materials Reliability,SUPPLEMENTARY
10.1016/j.microrel.2026.116089,6,predicted life / failure rate of the tantalum capacitor under the AIMD mission profile,medium,SMD tantalum (MnO2 and polymer),FMMEA + accelerated life testing combined with design of experiments; statistica,P3,Reliability assessment of SMD tantalum capacitors for Active Implantable Medical Devices: A methodology based on ALT and DoE,Indmeskine Fatima-Ezahra; Saintis Laurent; Kobi Abdessamad; Marceau Hélène,Microelectronics Reliability,2026,journal-article,0,Microelectronics Reliability,SUPPLEMENTARY
10.1109/tdmr.2026.3718376,6,"probabilistic capacitor reliability / failure probability over service time (with uncertainty bounds) - inferred from title, abstract not obtained",low,unspecified power-electronics capacitor,Kriging surrogate of an electrothermal model + probabilistic uncertainty propaga,P2,Uncertainty-Aware Probabilistic Reliability Algorithm for Capacitors Using Kriging-Based Electrothermal Modeling,Alexandre Andressa Mara Menezes; Filho Paulo Soares; De Castro Helio Fiori; Barros Tarcio Andre Dos Santos,IEEE Transactions on Device and Materials Reliability,2026,journal-article,0,IEEE Trans. Device and Materials Reliability,SUPPLEMENTARY
10.36001/phme.2020.v5i1.1201,6,remaining useful life of the excitation capacitor bank,medium,"excitation capacitor bank (AC, self-excited induction generator)",Hybrid model-based (saturated flux model) + data-mining degradation tracking pro,P1,Hybrid Fault Prognosis for Excitation Capacitors of Self-Excited Induction Generator for Wind Energy Applications,Derbal Massinissa; Toubakh Houari; Sayed-Mouchaweh Moamar; Bouchachia Abdelhamid,PHM Society European Conference,2020,journal-article,0,"PHM Society (all: PHM Conf, PHME, IJPHM, PHM",SUPPLEMENTARY
10.1109/jestpe.2024.3502255,5,composite degradation indicator D (fusing estimated Rx and 1/Cx trends),high,DC-link capacitor of PV boost converters (electrolytic),model-based decoupled parameter estimation from busbar voltage and per-string ca,P1,Online Degradation Fault Prognosis for DC-Link Capacitors in Multistring-Connected Photovoltaic Boost Converters Subject to Cable Uncertainties,Lu Geye; Lin Qiuqiong; Zheng Dayong; Zhang Pinjia,IEEE Journal of Emerging and Selected Topics in Power Electronics,2025,journal-article,19,IEEE JESTPE,SUPPLEMENTARY
10.1016/j.microrel.2020.113858,4,localized 3D defect site plus identified failure mode (leakage path from suspended metal in dielectric),high,MLCC (multilayer ceramic),"Correlative microscopy: 3D X-ray CT, femtosecond laser micromachining, FIB/SEM/E",P3,Correlative microscopy workflow for precise targeted failure analysis of multi-layer ceramic capacitors,May Nicholas; Favata Joseph; Ahmadi Bahar; Tavousi Pouya,Microelectronics Reliability,2020,journal-article,7,Microelectronics Reliability,SUPPLEMENTARY
10.1109/jestpe.2025.3648439,4,"degradation fault class label identifying which capacitor (input, output, or both) is degraded",high,DC-DC converter input and output capacitors (electrolytic),statistical multi-metric measurement-point ranking (S-M2R) + residual/dilated-re,P1,Robust Soft Fault Diagnosis of Capacitor Degradation in DC–DC Converters Using Statistical Optimal Measurement Point and RaDR-WCNN,Jiang Yuanyuan; Zhou Miao,IEEE Journal of Emerging and Selected Topics in Power Electronics,2026,journal-article,0,IEEE JESTPE,SUPPLEMENTARY
10.1016/j.microrel.2015.06.034,3,"Flex-crack failure-cause verdict plus a safe PCB positioning guideline (design rule, not a PHM quantity)",medium,MLCC (ceramic chip capacitor),Analytical board-flexure/stress modeling combined with destructive failure analy,P3,Avoiding flex cracks in ceramic capacitors: Analytical tool for a reliable failure analysis and guideline for positioning cercaps on PCBs,Vogel G.,Microelectronics Reliability,2015,journal-article,13,Microelectronics Reliability,SUPPLEMENTARY
10.1109/tdmr.2025.3572512,3,"estimated capacitance of the metallized film capacitor, plus a flag for the onset of clustered disruptive self-healing",medium,metallized polypropylene film (pulsed-power),Kalman filtering of sampled current to separate arc current from capacitor curre,P1,Monitoring Metallized Film Capacitor Health: A Method for Estimating Capacitance Amid Short-Term Failures Due to Self-Healing,He Yushuang; Wang Feipeng; Yang Hongming; Johnston Archie James,IEEE Transactions on Device and Materials Reliability,2025,journal-article,2,IEEE Trans. Device and Materials Reliability,SUPPLEMENTARY
10.36001/ijphm.2023.v14i2.3545,3,"a switchover/bypass decision (activate redundant converter leg, retire the degraded one)",medium,aluminium electrolytic (buck converter output capacitor),online signal-processing of output-voltage ripple as health indicator + confirma,P1,Fault- Tolerant DC-DC Converter with Zero Interruption Time Using Capacitor Health Prognosis,Sharma K Preethi; T Vijayakumar,International Journal of Prognostics and Health Management,2023,journal-article,0,"PHM Society (all: PHM Conf, PHME, IJPHM, PHM",SUPPLEMENTARY
10.1109/tdmr.2026.3699552,3,pass/fail screening decision for moisture-degraded stacked aluminium polymer capacitors (from the cyclic-voltammetry signature),medium,stacked aluminium polymer,humidity ageing experiments + first-principles (DFT) simulation of degradation m,P3,Research on the degradation mechanism of Stacked Aluminum Polymer Capacitors in Humid Environments,Sha Ming; Shi Lei; Liu Wenjie; Lv Zhe,IEEE Transactions on Device and Materials Reliability,2026,journal-article,0,IEEE Trans. Device and Materials Reliability,SUPPLEMENTARY
10.1109/jestpe.2021.3094715,2,Online ESR value of the output capacitor,high,aluminium electrolytic (output capacitor of vehicular auxiliary converter),Model-based online ESR estimation from ripple voltage/current reconstruction in ,P1,An Online Proactive Health Monitoring Method for Output Capacitors of Vehicular Auxiliary Converter,Wu Chenhao; Yue Jiguang; Liu Jincheng; Wang Li,IEEE Journal of Emerging and Selected Topics in Power Electronics,2022,journal-article,22,IEEE JESTPE,SUPPLEMENTARY
10.1016/j.microrel.2023.115003,2,a classification and comparison of CM techniques (no measured quantity of its own); reviewed methods emit ESR/capacitance,medium,"mixed (aluminium electrolytic, metallized film, MLCC in power converters)",literature review / taxonomy of capacitor condition-monitoring methods,P1,Review of condition monitoring methods for capacitors used in power converters,Nathan Leema Prasila Arokia; Hemamalini Ranganathan Rani; Jeremiah Ruben Johnson Robert; Partheeban Pachaivann,Microelectronics Reliability,2023,journal-article,21,Microelectronics Reliability,SUPPLEMENTARY
10.36001/phmconf.2010.v2i1.1727,2,ESR value and capacitance value trajectories under ageing (plus resulting converter output ripple),high,"Aluminium electrolytic capacitor (DC-DC converter, avionics)",Accelerated electrical-overstress ageing experiments with periodic ESR/capacitan,P1,Experimental Studies of Ageing in Electrolytic Capacitors,Kulkarni Chetan; Biswas Gautam; Koutsoukos Xenofon; Celaya Jose,Annual Conference of the PHM Society,2010,journal-article,11,"PHM Society (all: PHM Conf, PHME, IJPHM, PHM",SUPPLEMENTARY
10.1016/j.microrel.2023.115174,2,a fitted capacitance-degradation ageing law giving time-to-end-of-life under stress,medium,metallized polypropylene film,accelerated ageing (voltage/temperature/humidity) + fitting of a new capacitance,P2,Ageing metallized polypropylene film capacitors laws confronted with the phenomenon of corrosion,Rochefort Claire; Venet Pascal; Clerc Guy; Sari Ali,Microelectronics Reliability,2023,journal-article,10,Microelectronics Reliability,SUPPLEMENTARY
10.36001/phmconf.2015.v7i1.2713,2,Measured ESR and capacitance degradation trajectories versus overstress aging time,medium,Aluminium electrolytic (power supply),Accelerated electrical-overstress aging experiments with periodic electrical cha,P2,Analysis of Electrolytic Capacitor Degradation under Electrical Overstress for Prognostic Studies,Renwick Jason; S. Kulkarni Chetan; R. Celaya Jose ́,Annual Conference of the PHM Society,2015,journal-article,6,"PHM Society (all: PHM Conf, PHME, IJPHM, PHM",SUPPLEMENTARY
10.1109/jestpe.2024.3370616,2,estimated capacitance and ESR values,high,DC-link capacitor (AC/DC converter),linear-fitting current-integral reconstruction from load-driven DC-side voltage ,P1,A High-Accuracy Capacitor Condition Monitoring Scheme at Low Sample Frequency Based on Improved Current Reconstruction Method,Dai Xiaoteng; Zhao Leiting; Han Luyang; Sun Yuan,IEEE Journal of Emerging and Selected Topics in Power Electronics,2024,journal-article,6,IEEE JESTPE,SUPPLEMENTARY
10.1109/jestpe.2024.3400454,2,estimated AC filter capacitance value,high,"AC filter capacitor (LCL, likely film) in active front-end converter","artificial neural network combined with extremum-seeking control, online non-inv",P1,Advanced Condition Monitoring for Active Front-End Converter LCL Filter AC Capacitors,Matijevic Edi; Sharma Rahul; Hemanth Ajay; Zare Firuz,IEEE Journal of Emerging and Selected Topics in Power Electronics,2024,journal-article,6,IEEE JESTPE,SUPPLEMENTARY
10.1109/tr.2025.3598008,2,forecast capacitance (capacitance-loss trajectory) at future time horizons,high,aluminium electrolytic,physics-of-failure-informed neural network: evaporation mass-balance model embed,P1,PoFINN: Integrating Physics of Failure and Neural Networks for Long-Term Degradation Forecasting of Aluminum Electrolytic Capacitors,Bhattacharyya Anindya; Dutta Anurag; Behera Rajendra Prasad; Dasgupta Arup,IEEE Transactions on Reliability,2025,journal-article,5,IEEE Trans. Reliability,SUPPLEMENTARY
10.1109/jestpe.2024.3518838,2,estimated capacitance C and ESR of the DC capacitor,high,DC capacitor of a power electronic transformer,transfer learning: stacked denoising convolutional autoencoder + adversarial lea,P1,A Transferrable Data-Driven Method for Condition Monitoring of DC Capacitor in Power Electronic Transformer,Li Xiaohui; He Liqun; Zhu Zhongkui; Wang Cheng,IEEE Journal of Emerging and Selected Topics in Power Electronics,2025,journal-article,5,IEEE JESTPE,SUPPLEMENTARY
10.1016/j.microrel.2025.115873,2,estimated capacitance and ESR of the DC-link capacitor,high,DC-link electrolytic (diode-rectifier front end),analytical ripple-voltage harmonic model of a six-pulse diode rectifier with DC ,P1,Condition monitoring of a DC-link capacitor in an inverter with a front-end diode rectifier under imbalanced three-phase supply voltage,Yamasoto Takuma; Hasegawa Kazunori,Microelectronics Reliability,2025,journal-article,4,Microelectronics Reliability,SUPPLEMENTARY
10.36001/ijphm.2013.v4i1.1448,2,"modelled capacitance / ESR degradation trajectory (model parameters), no life quantity",medium,aluminum electrolytic,Physics-of-failure (electrolyte evaporation) degradation model derived and valid,P1,Physics Based Degradation Models for Electrolytic Capacitor Prognostics under Thermal Overstress Conditions,Kulkarni Chetan S.; Biswas Gautam; Celaya Jos´e R.; Goebel Kai,International Journal of Prognostics and Health Management,2020,journal-article,3,"PHM Society (all: PHM Conf, PHME, IJPHM, PHM",SUPPLEMENTARY
10.36001/phmconf.2017.v9i1.2477,2,Online estimated ESR value of the electrolytic capacitor,high,Aluminium electrolytic (DC-link/inverter),"Model-adjusting observer using naturally present converter waveforms, mixed anal",P1,An Observer-based On-line Electrolytic Capacitor Health Monitoring System,Foube Laurent; Mollov Stefan,Annual Conference of the PHM Society,2017,journal-article,1,"PHM Society (all: PHM Conf, PHME, IJPHM, PHM",SUPPLEMENTARY
10.1016/j.microrel.2010.10.013,1,acoustic-emission signal activity used as a deterioration signature (aging indicator),medium,"EMI-suppression film capacitors, class X2 (470 nF) and Y2 (27 nF)",acoustic-emission (partial-discharge) sensing during thermal and over-voltage ag,P3,Acoustic emission for detecting deterioration of capacitors under aging,Smulko Janusz; Józwiak Kazimierz; Olesz Marek; Hasse Lech,Microelectronics Reliability,2011,journal-article,13,Microelectronics Reliability,SUPPLEMENTARY
10.1109/tdmr.2009.2020153,1,Scintillation breakdown voltage and post-scintillation leakage-current damage indicator,medium,Solid tantalum capacitor (MnO2 and polymer cathode),Constant-current-stress scintillation testing with current-spike amplitude/durat,P3,Scintillation Breakdowns and Reliability of Solid Tantalum Capacitors,Teverovsky A.,IEEE Transactions on Device and Materials Reliability,2009,journal-article,6,IEEE Trans. Device and Materials Reliability,SUPPLEMENTARY
10.36001/phmap.2023.v4i1.3768,1,a ranked set of discriminative time-domain health-indicator features,high,aluminium electrolytic (SMPS / AC-DC converter output),accelerated life testing + time-domain feature extraction with correlation-based,P2,Concept of Condition Monitoring for AC-DC Converter Output  Capacitors via Discriminative Features,Kareem Akeem Bayo; Hur Jang Wook,PHM Society Asia-Pacific Conference,2023,journal-article,0,"PHM Society (all: PHM Conf, PHME, IJPHM, PHM",SUPPLEMENTARY
10.1016/j.microrel.2018.11.003,0,qualitative synthesis of failure mechanisms plus selection/qualification recommendations (no computed quantity),high,metallized film (EMI filtering),"Literature review of failure modes/mechanisms, safety and reliability standards,",P2,Metallized film capacitors used for EMI filtering: A reliability review,Valentine Nathan; Azarian Michael H.; Pecht Michael,Microelectronics Reliability,2019,journal-article,76,Microelectronics Reliability,SUPPLEMENTARY
